intersection_id,desc,lat,lng
14134880,Harbour St / Gardiner E York St Ramp / Lower Simcoe St / Waterfront Trl,43.640274,-79.383149
13468374,King St W / Dufferin St,43.638939,-79.427346
13468568,Dufferin St / Liberty St,43.637073,-79.426638
30111924,Dufferin St / Dufferin - King Park Trl,43.637891,-79.426952
13464868,Mutual St / Granby St,43.661575,-79.37761
30111927,Dufferin St / Dufferin - King Park Trl,43.638257,-79.427092
30017355,Jenoves Pl,43.648876,-79.369532
13465656,Sunlight Park Rd / Broadview Ave,43.656203,-79.348714
13460016,Mount Pleasant Rd / Glenrose Ave,43.689413,-79.383076
30011300,Toronto-Hanlan's Point Ferry Route,43.634723,-79.378014
13466424,Grange Ave / Larch St,43.652068,-79.396563
13466388,Grange Ave / Huron St,43.652252,-79.395695
14674579,Huron St / Ln S Dundas E Huron,43.65267,-79.395866
30011306,Toronto-Hanlan's Point Ferry Route,43.632494,-79.381597
13461303,Bayview Bloor Dvp Ramp / Bloor Ramp,43.682206,-79.363933
60001316,Lake Shore Blvd East Trl,43.65142,-79.347526
13466767,Jenoves Pl / Taylor's Wharf Lane,43.649595,-79.369543
60017153,Cherry St / Keating Channel,43.647076,-79.355549
60017153,Cherry St / Keating Channel,43.647076,-79.355549
13467180,Ossington Ave / Foxley St,43.647817,-79.420159
60069848,Jennifer Kateryna Koval's'kyj Park Trl,43.640885,-79.355373
13467976,Polson St / Jennifer Kateryna Koval's'kyj Park Trl,43.641161,-79.354972
60013973,Rosehill Ave / David A Balfour Park Trl,43.687064,-79.389367
30144166,David A Balfour Park Trl,43.68691,-79.389298
30155142,Cherry St,43.647212,-79.355661
13462159,Yonge St / Roxborough St E,43.677836,-79.389884
13465348,Wascana Ave / River St,43.658226,-79.356906
60005668,Cedarvale Ravine,43.688082,-79.416911
13460881,Mount Pleasant Rd / Carstowe Rd,43.684809,-79.383832
30144010,David A Balfour Park Trl,43.68538,-79.388058
14019870,Salisbury Ave / Magic Lane / Schawlow Lane,43.667127,-79.366391
13463970,Salisbury Ave / Metcalfe St,43.666866,-79.367522
14024043,Metcalfe St / Mickey Lane,43.666524,-79.367375
60005256,Mathersfield Dr / David A Balfour Park Trl,43.683106,-79.385914
13467949,Tecumseth St / Wellington St W,43.642113,-79.404741
13464089,Metcalfe St / Winchester St,43.666159,-79.367241
20062271,Winchester St / Broadcast Lane,43.666,-79.368036
13462980,Admiral Rd / Bernard Ave,43.673277,-79.400735
20079170,Ln 1 S College E Euclid,43.655398,-79.41059
13462986,Admiral Rd / Bernard Ave,43.673226,-79.400992
30036426,Rosehill Ave / David A Balfour Park Trl,43.686768,-79.390707
60052978,South Dr / Beltline Trl,43.677553,-79.374132
30088606,South Dr / Craigleigh Gardens Trl,43.677239,-79.373745
30004760,South Dr,43.67757,-79.374569
13460623,Walmer Rd / Heath St W,43.686541,-79.413148
20035293,Heath St W / Irene Jaskulka Lane,43.686669,-79.412617
30003499,Dundas St E / Lower Don River Trl,43.661706,-79.355662
30003499,Dundas St E / Lower Don River Trl,43.661706,-79.355662
13462097,Bayview Ave / Bayview S Bloor E Ramp,43.678031,-79.367409
13462422,Bathurst St / Davenport Rd,43.676717,-79.415766
13463841,Howland Rd / Simpson Ave,43.667441,-79.347348
13463956,Howland Rd / Gerrard St E,43.666665,-79.347021
13464004,Gerrard St E / De Grassi St,43.666339,-79.348518
13464583,Wardell St / Cummings St,43.662952,-79.345756
