_id,Category,Licence No.,Operating Name,Issued,Client Name,Business Phone,Business Phone Ext.,Licence Address Line 1,Licence Address Line 2,Licence Address Line 3,Ward,Conditions,Free Form Conditions Line 1,Free Form Conditions Line 2,Plate No.,Endorsements,Cancel Date,Last Record Update
1433,DRIVE-SELF RENTAL OWNER,B20-3133084,BUDGET RENT A CAR,2002-01-01,BUDGET CAR RENTALS TORONTO LTD,,,250 DUNDAS ST W,"TORONTO, ON",M5T 2Z5,11,CHAIN;,,,,DRIVE-SELF CAR RENTAL OWNER;,2007-03-20,2007-03-20
9068,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-3613452,ROGERS PLUS #332,2007-02-07,ROGERS CABLESYSTEMS LTD,,,1 BLUE JAYS WAY,"TORONTO, ON",M5V 1J4,10,,LOCATED AT THE ROGERS CENTRE,AS PER BY-LAW NO 438-86,,FOODSTUFFS;,2009-05-10,2009-10-29
9480,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-3952403,TAWAKAL GROCERY STORE,2009-08-20,"WABERI, HASSAN MOHAMED",,,440 DUNDAS ST E,"TORONTO, ON",M5A 2A8,13,,,,,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",2009-10-30,2009-10-30
11690,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-4181092,8 SQUARE,2011-06-06,"KWAN, LAI LOK",,,664 YONGE ST,"TORONTO, ON",M4Y 2A6,13,NO SEATING ACCOMMODATION;,"""SUBJECT TO ZONING BY-LAW # 1156-10 AND 438-86""",,,"CIGARS, CIGARETTES & TOBACCO;REFRESHMENTS;FOODSTUFFS;",2012-04-17,2012-11-20
12323,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-4186702,OLDE SPADINA AVE,2011-09-19,"SILVER, MICHAEL LAWRENCE",,,40 BAY ST,"TORONTO, ON",M5J 2X2,10,,,,,FOODSTUFFS;,2012-12-20,2016-05-02
14644,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-4066852,HOTEL 550 WELLINGTON GP,2010-05-28,HOTEL 550 WELLINGTON GP LTD,,,550 WELLINGTON ST W,"TORONTO, ON",M5V 2V4,10,,"""SUBJECT TO ZONING BY-LAW # 438-86""",,,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",2015-08-28,2016-10-02
17772,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-4185362,INTERNATIONAL NEWS,2011-09-27,1624213 ONTARIO INC,,,1 BLUE JAYS WAY,"TORONTO, ON",M5V 1J4,10,SHARED ADDRESS;,"""LOCATED AT ROGERS CENTRE""",,,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",2018-12-28,2019-04-02
17862,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-3958774,WARE'S GROCERY STORE,2009-10-30,"AHMED,AHMED SANI/JURU,RUMIYA MOHAMMED",,,440 DUNDAS ST E,"TORONTO, ON",M5A 2A8,13,,,,,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",2019-01-30,2019-02-05
18440,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-4827408,OLD SPADINA AVENUE KOSHER,2018-06-12,2632678 ONTARIO INC,,,1 BLUE JAYS WAY,"TORONTO, ON",M5V 1J4,10,NO SEATING ACCOMMODATION;SHARED ADDRESS;,located on level 100,,,REFRESHMENTS;,2019-09-12,2021-12-17
19223,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-4913137,INTERNATIONAL NEWS # 5189,2019-03-07,1624213 ONTARIO INC,,,1 BLUE JAYS WAY,"TORONTO, ON",M5V 1J4,10,SHARED ADDRESS;,"""LOCATED AT ROGERS CENTRE""",,,"CIGARS, CIGARETTES & TOBACCO;FOODSTUFFS;",2020-10-04,2021-12-21
19846,TAKE-OUT OR RETAIL FOOD ESTABLISHMENT,B50-4873061,OOSHEE,2018-10-11,MANOUSHERIE INC,,,9 CHARLES ST W,"TORONTO, ON",M4Y 1R4,13,INCIDENTAL 'TAKE OUT' SEATING ONLY;,UP TO 5 INCIDENTAL SEATING,,,REFRESHMENTS;,2021-01-11,2021-05-02
