code,name,centroid_lat,centroid_lng
174,South Eglinton-Davisville,43.700891,-79.392773
173,North Toronto,43.710238,-79.395938
172,Dovercourt Village,43.666127,-79.429375
171,Junction-Wallace Emerson,43.667225,-79.445625
170,Yonge-Bay Corridor,43.652417,-79.383671
169,Bay-Cloverhill,43.663903,-79.391292
156,Bendale-Glen Andrew,43.76773,-79.259019
155,Downsview,43.738848,-79.481583
154,Oakdale-Beverley Heights,43.725177,-79.505678
153,Avondale,43.759856,-79.400439
152,East Willowdale,43.771894,-79.400615
151,Yonge-Doris,43.769461,-79.41134
150,Fenside-Parkwoods,43.76094,-79.339217
149,Parkwoods-O'Connor Hills,43.751426,-79.337201
148,East L'Amoreaux,43.796143,-79.305363
147,L'Amoreaux West,43.789745,-79.320069
146,Malvern East,43.802088,-79.215796
145,Malvern West,43.808127,-79.229886
144,Morningside Heights,43.817616,-79.199037
143,West Rouge,43.792549,-79.136899
142,Woburn North,43.779727,-79.230242
141,Golfdale-Cedarbrae-Woburn,43.754293,-79.21877
140,Guildwood,43.748426,-79.191024
139,Scarborough Village,43.735903,-79.213979
138,Eglinton East,43.743166,-79.245576
136,West Hill,43.768466,-79.169197
135,Morningside,43.782313,-79.209802
134,Highland Creek,43.791572,-79.172634
133,Centennial Scarborough,43.776482,-79.148353
130,Milliken,43.817427,-79.276504
129,Agincourt North,43.805975,-79.259348
128,Agincourt South-Malvern West,43.789809,-79.265098
126,Dorset Park,43.762248,-79.280487
125,Ionview,43.731155,-79.272333
124,Kennedy Park,43.726765,-79.26025
123,Cliffcrest,43.710487,-79.231299
122,Birchcliffe-Cliffside,43.688738,-79.262847
168,Downtown Yonge East,43.654797,-79.377031
167,Church-Wellesley,43.665826,-79.382663
166,St Lawrence-East Bayfront-The Islands,43.627513,-79.379679
165,Harbourfront-CityPlace,43.638247,-79.390386
164,Wellington Place,43.646317,-79.395487
163,Fort York-Liberty Village,43.631351,-79.41466
162,West Queen West,43.642131,-79.408751
161,Humber Bay Shores,43.621271,-79.478817
160,Mimico-Queensway,43.61012,-79.501069
159,Etobicoke City Centre,43.621066,-79.550455
158,Islington,43.646199,-79.543087
157,Bendale South,43.747471,-79.247773
109,Caledonia-Fairbank,43.688235,-79.459188
108,Briar Hill-Belgravia,43.696056,-79.4568
107,Oakwood Village,43.688786,-79.437988
106,Humewood-Cedarvale,43.690186,-79.42804
105,Lawrence Park North,43.728606,-79.405359
103,Lawrence Park South,43.714273,-79.40686
102,Forest Hill North,43.70329,-79.428179
101,Forest Hill South,43.694293,-79.412644
100,Yonge-Eglinton,43.703745,-79.404428
