_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,WORK,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,GEO_ID,WARD_GRID,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,INSTITUTIONAL,RESIDENTIAL,BUSINESS_AND_PERSONAL_SERVICES,MERCANTILE,INDUSTRIAL,INTERIOR_ALTERATIONS,DEMOLITION,BUILDER_NAME
736,21 249735 PLB,00,Plumbing(PS),Multiple Unit Building,Building Permit Related(PS),372,BAY,ST, ,M5H,7929474,S1031,2021-12-17,2022-01-20,,Permit Issued,Plumbing  - PROPOSED INTERIOR ALTERATIONS TO SUITE 2100 & 2200: EXISTING OFFICE SPACE ALTERED TO INCLUDE ADDITIONAL PRIVATE OFFICES WITHIN THE EXISTING DEMISED OFFICE AREA. ,Office Space,Office Space,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,TORONTO DECORATING CORPORATION
13467,24 187510 HVA,00,Mechanical(MS),Hostel/Shelter,Building Permit Related(MS),67,ADELAIDE,ST,E,M5C,8313241,S1338,2024-07-25,2024-09-03,,Permit Issued,"HVAC - Removal of all interior, non structural finishes, electrical, plumbing and HVAC for future rehabilitation program.",Women'S Shelter,Native Shelter,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
13866,25 124561 HVA,03,Mechanical(MS),Arena,Building Permit Related(MS),40,BAY,ST, ,M5J,7929257,S1037,2026-02-12,2026-03-12,,Revision Issued,Revision: Kitchen exhaust & related fire suppression in RM 3413A (NW Kitchen) ,Arena,Arena,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
20717,19 109321 BLD,01,Building Additions/Alterations,Restaurant 30 Seats or Less ,Interior Alterations,500,BLOOR,ST,W,M5S,14115433,S1126,2019-06-06,2019-07-09,,Revision Issued,"Revision 1. OBC matrix revised, storage room has been converted to seating area.",Restaurant,Restaurant,0,0,0,0,0,0,0,0,0,0,0,
22783,21 123701 DRN,00,Drain and Site Service,Stadium,Building Permit Related (DR),1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2021-05-07,2022-05-13,,Permit Issued,Drain - Construct interior alterations and fit-out of flex space and batting cages ,Stadium,Stadium,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
23007,25 126757 FSU,00,Fire/Security Upgrade,Hostel/Shelter,Building Permit Related(FS),67,ADELAIDE,ST,E,M5C,8313241,S1338,2026-04-14,,,Application On Hold,"FS - Sprinkler Shop Drawing - Proposed alterations - construction of new suspended slab, removal and reconstruction of slab-on-grade & upper roof, installation of new interior partitions & finishes, alterations to existing plumbing, HVAC, and electrical, new exterior EFIS. ",Shelter,Shelter,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
23295,17 220126 BLD,00,Building Additions/Alterations,Stadium,Garage Repair/Reconstruction,1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2017-08-21,2017-09-05,,Inspection,Proposed concrete and waterproofing repars to *rogers centre* on suspended podium deck slab around the existing stadium.  -  ROGERS CENTRE EXTERIOR REFRESH PHASE 1B ,Stadium,Stadium,,,800000,0,0,0,0,0,0,0,0,
23787,23 122606 PLB,00,Plumbing(PS),Arena,Building Permit Related(PS),40,BAY,ST, ,M5J,7929257,S1037,2023-03-13,2023-04-13,,Inspection,Plumbing  - New food retail concession in existing vacant space at Lower Concourse level. ,Arena,Arena,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
26420,13 103924 HVA,00,Mechanical(MS),Stadium,Building Permit Related(MS),1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2013-01-10,2013-02-12,,Permit Issued,"HVAC - Proposal for interior alterations to levels 300 and 400 adjacent to Blue Jays executive offices, between gates 7 and 9 (close to gate 9) to create meeting space ",Stadium,Stadium,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
27361,25 118250 BLD,00,Building Additions/Alterations,Arena,Balcony/Guard Repairs,40,BAY,ST, ,M5J,7929257,S1037,2025-02-18,2025-03-26,,Inspection,Installation of a 45.7m long ballasted rooftop guardrail around the perimeter of the north section of low roof to provide safe access for maintenance.,Arena,Arena,,,55000.00,0,0,0,0,0,0,0,0,
27715,26 104901 HVA,00,Mechanical(MS),Stadium,Building Permit Related(MS),1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2026-01-14,2026-02-12,,Inspection,"HVAC - Proposed removal of an existing door, installation of custom millwork, close in existing slab opening with new walls and construction of a new enclosed storage room.",Stadium,Stadium,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
29023,25 157930 HVA,00,Mechanical(MS),Multiple Unit Building,Building Permit Related(MS),550,WELLINGTON,ST,W,   ,20054266,S1032,2025-05-12,2025-11-26,,Permit Issued,HVAC - Proposal for interior alterations to convert existing residential suites to hotel suites that includes new interior partition walls.,Residential Suites,Hotel Suites,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
30140,24 187510 BLD,00,Building Additions/Alterations,Hostel/Shelter,Interior Alterations,67,ADELAIDE,ST,E,M5C,8313241,S1338,2024-07-25,2024-09-03,,Permit Issued,"Removal of all interior, non structural finishes, electrical, plumbing and HVAC for future rehabilitation program.",Women'S Shelter,Native Shelter,0,0,800000,0,0,0,0,0,0,150,0,
31136,25 157930 BLD,00,Building Additions/Alterations,Multiple Unit Building,Interior Alterations,550,WELLINGTON,ST,W,   ,20054266,S1032,2025-05-12,2025-11-26,,Inspection,Proposal for interior alterations to convert existing residential suites to hotel suites that includes new interior partition walls.,Residential Suites,Hotel Suites,0,0,"500,000",0,0,0,0,0,0,733.43,0,
