code,name,centroid_lat,centroid_lng
07,Humber River-Black Creek,43.745612,-79.537828
06,York Centre,43.749757,-79.462625
18,Willowdale,43.768021,-79.415975
11,University-Rosedale,43.676629,-79.380424
19,Beaches-East York,43.671336,-79.301856
20,Scarborough Southwest,43.702899,-79.242206
25,Scarborough-Rouge Park,43.788606,-79.157047
23,Scarborough North,43.808231,-79.241844
24,Scarborough-Guildwood,43.752486,-79.207782
21,Scarborough Centre,43.757135,-79.280356
22,Scarborough-Agincourt,43.790356,-79.306938
15,Don Valley West,43.721848,-79.367851
12,Toronto-St. Paul's,43.688186,-79.411157
04,Parkdale-High Park,43.641475,-79.464086
01,Etobicoke North,43.721415,-79.573871
03,Etobicoke-Lakeshore,43.614193,-79.503582
02,Etobicoke Centre,43.654809,-79.558146
08,Eglinton-Lawrence,43.72517,-79.43085
17,Don Valley North,43.781615,-79.360165
16,Don Valley East,43.728577,-79.337027
09,Davenport,43.667522,-79.443695
13,Toronto Centre,43.662045,-79.364893
05,York South-Weston,43.693882,-79.49671
14,Toronto-Danforth,43.639031,-79.334395
10,Spadina-Fort York,43.630118,-79.392856
